Name,Stars,Forks,Language,Domain
freeCodeCamp/freeCodeCamp,224136,8997,JavaScript,Documentation
twbs/bootstrap,105991,48185,JavaScript,Web libraries and frameworks
d3/d3,59462,15847,JavaScript,Web libraries and frameworks
facebook/react,58176,10559,JavaScript,Web libraries and frameworks
angular/angular.js,54439,27059,JavaScript,Web libraries and frameworks
getify/You-Dont-Know-JS,49828,7657,JavaScript,Documentation
robbyrussell/oh-my-zsh,48136,11625,Shell,Software tools
FortAwesome/Font-Awesome,47865,8291,HTML,Web libraries and frameworks
airbnb/javascript,46155,8853,JavaScript,Documentation
tensorflow/tensorflow,43721,20354,C++,Software tools
facebook/react-native,43151,9887,JavaScript,Web libraries and frameworks
jquery/jquery,43098,11969,JavaScript,Web libraries and frameworks
torvalds/linux,41150,15715,C,System software
electron/electron,40755,4830,C++,Non-web libraries and frameworks
vuejs/vue,40605,5012,JavaScript,Web libraries and frameworks
docker/docker,39002,11629,Go,System software
daneden/animate.css,38523,8662,CSS,Web libraries and frameworks
meteor/meteor,36523,4552,JavaScript,Web libraries and frameworks
h5bp/html5-boilerplate,36344,9006,JavaScript,Web libraries and frameworks
apple/swift,36288,5290,C++,System software
rails/rails,34188,13896,Ruby,Web libraries and frameworks
atom/atom,34143,5908,CoffeeScript,Application software
hakimel/reveal.js,32456,9792,JavaScript,Web libraries and frameworks
Semantic-Org/Semantic-UI,30891,3517,JavaScript,Web libraries and frameworks
nodejs/node,30884,5676,JavaScript,System software
impress/impress.js,30730,6479,JavaScript,Web libraries and frameworks
nwjs/nw.js,30514,3446,C++,System software
mrdoob/three.js,30269,10538,JavaScript,Web libraries and frameworks
socketio/socket.io,30067,5765,JavaScript,Non-web libraries and frameworks
moment/moment,29595,4248,JavaScript,Non-web libraries and frameworks
expressjs/express,29588,5415,JavaScript,Web libraries and frameworks
Homebrew/legacy-homebrew,29324,13823,Ruby,Software tools
laravel/laravel,28856,9543,PHP,Web libraries and frameworks
vinta/awesome-python,28649,5442,Python,Documentation
jekyll/jekyll,28327,6280,Ruby,Application software
AFNetworking/AFNetworking,28207,8950,Objective-C,Software tools
jkbrzt/httpie,27831,1800,Python,Software tools
google/material-design-icons,27681,5286,CSS,Web libraries and frameworks
driftyco/ionic,27631,6566,TypeScript,Web libraries and frameworks
chartjs/Chart.js,27551,7361,JavaScript,Web libraries and frameworks
reactjs/redux,27484,4967,JavaScript,Web libraries and frameworks
adobe/brackets,26769,5656,JavaScript,Application software
resume/resume.github.com,26228,695,JavaScript,Application software
NARKOZ/hacker-scripts,26112,4801,JavaScript,Application software
jashkenas/backbone,25973,5641,JavaScript,Web libraries and frameworks
blueimp/jQuery-File-Upload,25803,6943,JavaScript,Web libraries and frameworks
google/material-design-lite,25644,4336,HTML,Web libraries and frameworks
gulpjs/gulp,24947,3504,JavaScript,Software tools
zurb/foundation-sites,24803,5420,JavaScript,Web libraries and frameworks
pallets/flask,24778,7879,Python,Web libraries and frameworks
necolas/normalize.css,24500,4997,HTML,Web libraries and frameworks
Dogfalo/materialize,24120,3500,JavaScript,Web libraries and frameworks
golang/go,24001,3208,Go,System software
nvbn/thefuck,23688,1146,Python,Software tools
webpack/webpack,23385,2677,JavaScript,Web libraries and frameworks
django/django,23372,9432,Python,Web libraries and frameworks
rg3/youtube-dl,23124,4428,Python,Application software
chrislgarry/Apollo-11,22985,3251,Assembly,Documentation
kennethreitz/requests,22978,4141,Python,Software tools
callemall/material-ui,22603,4027,JavaScript,Web libraries and frameworks
getlantern/lantern,21876,5653,Go,Application software
yarnpkg/yarn,21809,835,JavaScript,Software tools
Microsoft/vscode,21775,3070,TypeScript,Software tools
TryGhost/Ghost,21713,5161,JavaScript,Application software
nylas/N1,21693,1019,JavaScript,Application software
Alamofire/Alamofire,21612,3724,Swift,Non-web libraries and frameworks
antirez/redis,21486,8067,C,System software
neovim/neovim,21332,1518,VimL,Application software
lodash/lodash,21129,2097,JavaScript,Non-web libraries and frameworks
ansible/ansible,20967,6620,Python,Software tools
ariya/phantomjs,20781,4400,HTML,Software tools
ReactiveX/RxJava,20734,3661,Java,System software
elastic/elasticsearch,20441,7055,Java,Software tools
discourse/discourse,20404,5367,Ruby,Application software
harvesthq/chosen,20353,3944,HTML,Web libraries and frameworks
caolan/async,20255,1960,JavaScript,Non-web libraries and frameworks
rust-lang/rust,20090,3808,Rust,System software
kubernetes/kubernetes,20069,6799,Go,Software tools
jashkenas/underscore,19996,4561,JavaScript,Non-web libraries and frameworks
angular/angular,19961,5175,TypeScript,Web libraries and frameworks
tastejs/todomvc,19871,11253,JavaScript,Documentation
Modernizr/Modernizr,19587,2684,JavaScript,Web libraries and frameworks
babel/babel,19549,1590,JavaScript,Software tools
josephmisiti/awesome-machine-learning,19488,4717,Python,Documentation
select2/select2,19287,4216,JavaScript,Web libraries and frameworks
facebookincubator/create-react-app,19083,2072,JavaScript,Web libraries and frameworks
minimaxir/big-list-of-naughty-strings,19083,735,Python,Documentation
ReactTraining/react-router,18979,4550,JavaScript,Web libraries and frameworks
gitlabhq/gitlabhq,18939,5148,Ruby,Software tools
typicode/json-server,18650,1319,JavaScript,System software
sahat/hackathon-starter,18563,3092,CSS,Web libraries and frameworks
Microsoft/TypeScript,18436,2594,TypeScript,Software tools
square/retrofit,18399,3823,Java,Non-web libraries and frameworks
